ticker,gics_sector,industry
NTAP,Information Technology,Computer Hardware
NTDOY,Communication Services,Electronic Gaming & Multimedia
NTLA,Health Care,Biotechnology
NTNX,Information Technology,Software—Infrastructure
NTRA,Health Care,Diagnostics & Research
NTRS,Financials,Asset Management
NUAN,Information Technology,Software—Application
NUVA,Health Care,Medical Devices
NVAX,Health Care,Biotechnology
NVCR,Health Care,Medical Instruments & Supplies
NVDA,Information Technology,Semiconductors
NWL,Consumer Discretionary,Household & Personal Products
NWSA,Communication Services,Broadcasting
NXPI,Information Technology,Semiconductors
ODFL,Industrials,Trucking
ODP,Consumer Discretionary,Specialty Retail
OKTA,Information Technology,Software—Infrastructure
OLED,Information Technology,Semiconductor Equipment & Mate
OLLI,Consumer Discretionary,Discount Stores
ON,Information Technology,Semiconductors
ORBC,Communication Services,Telecom Services
ORLY,Consumer Discretionary,Specialty Retail
OSTK,Consumer Discretionary,Internet Retail
PAYX,Information Technology,Staffing & Employment Services
PBYI,Health Care,Biotechnology
PCAR,Industrials,Farm & Heavy Construction Mach
PDCE,Energy,Oil & Gas E&P
PDCO,Health Care,Medical Distribution
PDD,Consumer Discretionary,Internet Retail
PENN,Consumer Discretionary,Resorts & Casinos
PEP,Consumer Staples,Beverages—Non-Alcoholic
PFG,Financials,Insurance—Diversified
PFPT,Information Technology,Software—Infrastructure
PI,Information Technology,Communication Equipment
PLAY,Consumer Discretionary,Restaurants
PODD,Health Care,Medical Devices
POOL,Consumer Discretionary,Leisure
POWI,Information Technology,Semiconductors
PPC,Consumer Staples,Packaged Foods
PRAH,Health Care,Diagnostics & Research
PS,Information Technology,Software—Application
PTC,Information Technology,Software—Application
PTON,Consumer Discretionary,Leisure
PYPL,Information Technology,Credit Services
PZZA,Consumer Discretionary,Restaurants
QCOM,Information Technology,Semiconductors
QFIN,Financials,Credit Services
QIWI,Information Technology,Credit Services
QRTEA,Consumer Discretionary,Internet Retail
QRVO,Information Technology,Semiconductors
QTT,Communication Services,Internet Content & Information
REG,Real Estate,REIT—Retail
REGN,Health Care,Biotechnology
RETA,Health Care,Biotechnology
RGEN,Health Care,Medical Instruments & Supplies
ROKU,Communication Services,Entertainment
ROST,Consumer Discretionary,Apparel Retail
RUN,Industrials,Solar
RYAAY,Industrials,Airlines
SAFM,Consumer Staples,Packaged Foods
SAGE,Health Care,Biotechnology
SANM,Information Technology,Electronic Components
SBAC,Real Estate,REIT—Specialty
SBNY,Financials,Banks-Regional
SBRA,Real Estate,REIT—Healthcare Facilities
SBUX,Consumer Discretionary,Restaurants
SEDG,Information Technology,Solar
SEIC,Financials,Asset Management
SFIX,Consumer Discretionary,Specialty Retail
SFM,Consumer Staples,Grocery Stores
SGEN,Health Care,Biotechnology
SGMO,Health Care,Biotechnology
SIRI,Communication Services,Broadcasting
SIVB,Financials,Banks-Regional
SLAB,Information Technology,Semiconductors
SLGN,Materials,Packaging & Containers
SMTC,Information Technology,Semiconductors
SNEX,Financials,Capital Markets
SNPS,Information Technology,Software—Infrastructure
SPLK,Information Technology,Software—Infrastructure
SPTN,Consumer Staples,Food Distribution
SPWR,Information Technology,Solar
SRCL,Industrials,Waste Management
SRPT,Health Care,Biotechnology
SSNC,Information Technology,Software—Application
STLD,Materials,Steel
STMP,Consumer Discretionary,Software—Application
STNE,Information Technology,Software—Application
STX,Information Technology,Computer Hardware
SUMO,Information Technology,Software - Application
SWBI,Consumer Discretionary,Aerospace & Defense
SWKS,Information Technology,Semiconductors
SYNA,Information Technology,Semiconductors
TA,Consumer Discretionary,Specialty Retail
TACO,Consumer Discretionary,Restaurants
TEAM,Information Technology,Software—Application
TECH,Health Care,Biotechnology
TLRY,Health Care,Drug Manufacturers—Specialty &
TMUS,Communication Services,Telecom Services
TNDM,Health Care,Medical Devices
TREE,Financials,Mortgage Finance
TRIP,Communication Services,Travel Services
TRMB,Information Technology,Scientific & Technical Instrum
TROW,Financials,Asset Management
TSCO,Consumer Discretionary,Specialty Retail
TSLA,Consumer Discretionary,Auto Manufacturers
TTD,Information Technology,Software—Application
TTWO,Communication Services,Electronic Gaming & Multimedia
TXN,Information Technology,Semiconductors
TXRH,Consumer Discretionary,Restaurants
UAL,Industrials,Airlines
UEIC,Consumer Discretionary,Consumer Electronics
UI,Information Technology,Communication Equipment
ULTA,Consumer Discretionary,Specialty Retail
UNIT,Real Estate,REIT—Specialty
URBN,Consumer Discretionary,Apparel Retail
VC,Consumer Discretionary,Auto Parts
VCYT,Health Care,Biotechnology
VIAV,Information Technology,Communication Equipment
VOD,Communication Services,Telecom Services
VRSK,Industrials,Consulting Services
VRSN,Information Technology,Software—Infrastructure
VRTX,Health Care,Biotechnology
VTRU,Consumer Staples,Education & Training Services
WB,Communication Services,Internet Content & Information
WBA,Consumer Staples,Pharmaceutical Retailers
WDAY,Information Technology,Software—Application
WDC,Information Technology,Computer Hardware
WEN,Consumer Discretionary,Restaurants
WIX,Information Technology,Software—Infrastructure
WLTW,Financials,Insurance Brokers
WYNN,Consumer Discretionary,Resorts & Casinos
XEL,Utilities,Utilities—Regulated Electric
XLNX,Information Technology,Semiconductors
XRAY,Health Care,Medical Instruments & Supplies
YNDX,Information Technology,Internet Content & Information
Z,Communication Services,Internet Content & Information
ZBRA,Information Technology,Communication Equipment
ZION,Financials,Banks-Regional
ZM,Information Technology,Telecom Services
ZNGA,Communication Services,Electronic Gaming & Multimedia
ZS,Information Technology,Software—Infrastructure
ZYNE,Health Care,Drug Manufacturers—Specialty &
A,Health Care,Diagnostics & Research
AA,Materials,Aluminum
AAN,Consumer Discretionary,Rental & Leasing Services
AAP,Consumer Discretionary,Specialty Retail
ABBV,Health Care,Drug Manufacturers—General
ABC,Health Care,Medical Distribution
ABEV,Consumer Staples,Beverages—Brewers
ABG,Consumer Discretionary,Auto & Truck Dealerships
ABM,Industrials,Specialty Business Services
ABT,Health Care,Medical Devices
ACB,Health Care,Drug Manufacturers—Specialty &
ACM,Industrials,Engineering & Construction
ACN,Information Technology,Information Technology Service
ADM,Consumer Staples,Farm Products
ADS,Information Technology,Credit Services
ADT,Industrials,Security & Protection Services
AEE,Utilities,Utilities—Regulated Electric
AEO,Consumer Discretionary,Apparel Retail
AEP,Utilities,Utilities—Regulated Electric
AES,Utilities,Utilities—Diversified
AFG,Financials,Insurance—Property & Casualty
AFL,Financials,Insurance—Life
AGCO,Industrials,Farm & Heavy Construction Mach
AGRO,Consumer Staples,Farm Products
AIG,Financials,Insurance—Diversified
AIN,Industrials,Textile Manufacturing
AIZ,Financials,Insurance—Specialty
AJG,Financials,Insurance Brokers
ALB,Materials,Specialty Chemicals
ALK,Industrials,Airlines
ALL,Financials,Insurance—Property & Casualty
ALLE,Industrials,Security & Protection Services
ALLY,Financials,Credit Services
AME,Industrials,Specialty Industrial Machinery
AMG,Financials,Asset Management
AMP,Financials,Asset Management
AMT,Real Estate,REIT—Specialty
AMWL,Health Care,Health Information Services
AMX,Communication Services,Telecom Services
AN,Consumer Discretionary,Auto & Truck Dealerships
ANET,Information Technology,Computer Hardware
ANF,Consumer Discretionary,Apparel Retail
ANTM,Health Care,Healthcare Plans
AON,Financials,Insurance Brokers
APA,Energy,Oil & Gas E&P
APD,Materials,Chemicals
APH,Information Technology,Electronic Components
APRN,Consumer Discretionary,Internet Retail
APTV,Consumer Discretionary,Auto Parts
ARCH,Energy,Thermal Coal
ARE,Real Estate,REIT—Office
ARGO,Financials,Insurance—Property & Casualty
ARMK,Consumer Discretionary,Restaurants
ARW,Information Technology,Electronics & Computer Distrib
ASAN,Information Technology,Software—Application
ASH,Materials,Chemicals
ATGE,Consumer Discretionary,Education & Training Services
ATH,Financials,Insurance—Diversified
ATI,Materials,Metal Fabrication
ATO,Utilities,Utilities—Regulated Gas
ATUS,Communication Services,Telecom Services
AVB,Real Estate,REIT—Residential
AVY,Materials,Business Equipment & Supplies
AWK,Utilities,Utilities—Regulated Water
AXP,Financials,Credit Services
AXTA,Materials,Specialty Chemicals
AYI,Industrials,Electrical Equipment & Parts
AYX,Information Technology,Software—Application
AZN,Health Care,Drug Manufacturers—General
AZO,Consumer Discretionary,Specialty Retail
AZUL,Industrials,Airlines
BA,Industrials,Aerospace & Defense
BABA,Consumer Discretionary,Internet Retail
BAC,Financials,Banks—Diversified
BAH,Information Technology,Consulting Services
BAX,Health Care,Medical Instruments & Supplies
BB,Information Technology,Software—Infrastructure
BBD,Financials,Banks-Regional
BBY,Consumer Discretionary,Specialty Retail
BC,Consumer Discretionary,Leisure
BCO,Industrials,Security & Protection Services
BDX,Health Care,Medical Instruments & Supplies
BEN,Financials,Asset Management
BERY,Materials,Packaging & Containers
BFAM,Consumer Discretionary,Personal Services
BG,Consumer Staples,Farm Products
BHC,Health Care,Drug Manufacturers—Specialty &
BHP,Materials,Other Industrial Metals & Mini
BHVN,Health Care,Biotechnology
BIG,Consumer Discretionary,Discount Stores
BIO,Health Care,Medical Devices
BJ,Consumer Staples,Discount Stores
BK,Financials,Asset Management
BLK,Financials,Asset Management
BLL,Materials,Packaging & Containers
BMY,Health Care,Drug Manufacturers—General
BOX,Information Technology,Software—Infrastructure
BR,Information Technology,Information Technology Service
BRFS,Consumer Staples,Packaged Foods
BRK.B,Financials,Insurance—Diversified
BRO,Financials,Insurance Brokers
BSAC,Financials,Banks-Regional
BTI,Consumer Staples,Tobacco
BUD,Consumer Staples,Beverages—Brewers
BURL,Consumer Discretionary,Apparel Retail
BWA,Consumer Discretionary,Auto Parts
BX,Financials,Asset Management
BXP,Real Estate,REIT—Office
BXS,Financials,Banks-Regional
BYD,Consumer Discretionary,Resorts & Casinos
C,Financials,Banks—Diversified
CADE,Financials,Banks-Regional
CAG,Consumer Staples,Packaged Foods
CAH,Health Care,Medical Distribution
CAT,Industrials,Farm & Heavy Construction Mach
CB,Financials,Insurance—Property & Casualty
CBRE,Real Estate,Real Estate Services
CC,Materials,Specialty Chemicals
CCEP,Consumer Staples,Beverages—Non-Alcoholic
CCI,Real Estate,REIT—Specialty
CCK,Materials,Packaging & Containers
CCL,Consumer Discretionary,Travel Services
CCU,Consumer Staples,Beverages—Brewers
CE,Materials,Chemicals
CF,Materials,Agricultural Inputs
CFG,Financials,Banks-Regional
CFX,Industrials,Specialty Industrial Machinery
CGC,Health Care,Drug Manufacturers—Specialty &
CHD,Consumer Staples,Household & Personal Products
CHE,Health Care,Medical Care Facilities
CHGG,Consumer Discretionary,Education & Training Services
CHL,Communication Services,Telecom Services
CHWY,Consumer Discretionary,Internet Retail
CI,Health Care,Healthcare Plans
CIEN,Information Technology,Communication Equipment
CIG,Utilities,Utilities—Diversified
CIT,Financials,Banks-Regional
CL,Consumer Staples,Household & Personal Products
CLDR,Information Technology,Software—Application
CLR,Energy,Oil & Gas E&P
CLX,Consumer Staples,Household & Personal Products
CMA,Financials,Banks-Regional
CMC,Materials,Steel
CMG,Consumer Discretionary,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities—Regulated Electric
CNC,Health Care,Healthcare Plans
CNK,Communication Services,Entertainment
CNO,Financials,Insurance—Life
CNP,Utilities,Utilities—Regulated Gas
CNX,Energy,Oil & Gas E&P
COF,Financials,Credit Services
COG,Energy,Oil & Gas E&P
COLD,Real Estate,REIT—Industrial
COO,Health Care,Medical Instruments & Supplies
COP,Energy,Oil & Gas E&P
COTY,Consumer Staples,Household & Personal Products
CPB,Consumer Staples,Packaged Foods
CPE,Energy,Oil & Gas E&P
CPRI,Consumer Discretionary,Apparel Manufacturing
CRI,Consumer Discretionary,Apparel Retail
CRL,Health Care,Diagnostics & Research
CRM,Information Technology,Software—Application
CTLT,Health Care,Drug Manufacturers—Specialty &
CUB,Industrials,Aerospace & Defense
CUBE,Real Estate,REIT—Industrial
CVA,Industrials,Waste Management
CVNA,Consumer Discretionary,Internet Retail
CVS,Health Care,Healthcare Plans
CVX,Energy,Oil & Gas Integrated
CX,Materials,Building Materials
CXO,Energy,Oil & Gas E&P
CYH,Health Care,Medical Care Facilities
D,Utilities,Utilities—Diversified
DAL,Industrials,Airlines
DAN,Consumer Discretionary,Auto Parts
DAR,Consumer Staples,Packaged Foods
DB,Financials,Banks-Regional
DCI,Industrials,Specialty Industrial Machinery
DD,Materials,Chemicals
DDD,Information Technology,Computer Hardware
DDS,Consumer Discretionary,Department Stores
DE,Industrials,Farm & Heavy Construction Mach
DECK,Consumer Discretionary,Footwear & Accessories
DELL,Information Technology,Computer Hardware
DFS,Financials,Credit Services
DGX,Health Care,Diagnostics & Research
DHI,Consumer Discretionary,Residential Construction
DHR,Health Care,Diagnostics & Research
DIS,Communication Services,Entertainment
DK,Energy,Oil & Gas Refining & Marketing
DKS,Consumer Discretionary,Specialty Retail
DLR,Real Estate,REIT—Office
DNOW,Industrials,Oil & Gas Equipment & Services
DOV,Industrials,Specialty Industrial Machinery
DOYU,Communication Services,Internet Content & Information
DPZ,Consumer Discretionary,Restaurants
DRE,Real Estate,REIT—Industrial
DRI,Consumer Discretionary,Restaurants
DTE,Utilities,Utilities—Regulated Electric
DUK,Utilities,Utilities—Regulated Electric
DVA,Health Care,Medical Care Facilities
DVN,Energy,Oil & Gas E&P
DXC,Information Technology,Information Technology Service
EAT,Consumer Discretionary,Restaurants
ECL,Materials,Specialty Chemicals
ED,Utilities,Utilities—Regulated Electric
EDU,Consumer Discretionary,Education & Training Services
EFX,Industrials,Consulting Services
EGHT,Information Technology,Software—Application
EHC,Health Care,Medical Care Facilities
EIX,Utilities,Utilities—Regulated Electric
EL,Consumer Staples,Household & Personal Products
ELAN,Health Care,Drug Manufacturers—Specialty &
EME,Industrials,Engineering & Construction
EMN,Materials,Chemicals
EMR,Industrials,Specialty Industrial Machinery
ENB,Energy,Oil & Gas Midstream
ENR,Consumer Staples,Electrical Equipment & Parts
ENS,Industrials,Electrical Equipment & Parts
EOG,Energy,Oil & Gas E&P
EPC,Consumer Staples,Household & Personal Products
EPD,Energy,Oil & Gas Midstream
EQR,Real Estate,REIT—Residential
ES,Utilities,Utilities—Regulated Electric
ESNT,Financials,Mortgage Finance
ESS,Real Estate,REIT—Residential
ET,Energy,Oil & Gas Midstream
ETN,Industrials,Specialty Industrial Machinery
ETR,Utilities,Utilities—Diversified
EV,Financials,Asset Management
EVA,Materials,Lumber & Wood Production
EVRG,Utilities,Utilities—Regulated Electric
EW,Health Care,Medical Devices
EXC,Utilities,Utilities—Diversified
EXR,Real Estate,REIT—Industrial
F,Consumer Discretionary,Auto Manufacturers
FAF,Financials,Insurance—Specialty
FBHS,Industrials,"Furnishings, Fixtures & Applia"
FBP,Financials,Banks-Regional
FCPT,Real Estate,REIT—Hotel & Motel
FCX,Materials,Copper
FDS,Financials,Financial Data & Stock Exchang
FDX,Industrials,Integrated Freight & Logistics
FE,Utilities,Utilities—Diversified
FIS,Information Technology,Information Technology Service
FIT,Information Technology,Scientific & Technical Instrum
FL,Consumer Discretionary,Footwear & Accessories
FLO,Consumer Staples,Packaged Foods
FLR,Industrials,Engineering & Construction
FLS,Industrials,Specialty Industrial Machinery
FLT,Information Technology,Information Technology Service
FMC,Materials,Agricultural Inputs
FNF,Financials,Insurance—Specialty
FRC,Financials,Banks-Regional
FRT,Real Estate,REIT—Retail
FSLY,Information Technology,Software—Application
